,Titles,Links
0,Russia says Black Sea grain deal ‘terminated’,https://www.aljazeera.com/news/liveblog/2023/7/17/russia-ukraine-updates-two-dead-in-crimean-bridge-emergency
1,Russia-Ukraine Black Sea grain deal: All you need to know,https://www.aljazeera.com/news/2023/7/17/russia-ukraine-black-sea-grain-deal-all-you-need-to-know
2,What happened to the Crimea bridge and why is it important?,https://www.aljazeera.com/news/2023/7/17/crimea-bridge-attack-what-happened-why-is-the-bridge-important
3,The countries hit the hardest by Russia’s grain deal exit,https://www.aljazeera.com/news/2023/7/17/as-russia-exits-grain-deal-which-countries-will-be-affected
4,"As Herzog visits US, advocates urge action against Israeli abuses",https://www.aljazeera.com/news/2023/7/17/as-herzog-visits-us-advocates-urge-action-against-israeli-abuses
5,US needs more critical minerals. Can it be done responsibly?,https://www.aljazeera.com/news/longform/2023/7/17/us-needs-more-critical-minerals-can-it-be-done-responsibly
6,Erdogan open to meeting al-Assad but not to withdrawal from Syria,https://www.aljazeera.com/news/2023/7/17/erdogan-open-to-meeting-al-assad-but-not-to-withdrawal-from-syria
7,Photos: Heatwaves strike across the globe as wildfires rage,https://www.aljazeera.com/gallery/2023/7/17/photos-heatwaves-strike-across-the-globe-as-wildfires-rage
8,East Ukraine fighting ‘intensifies’ as Putin dismisses offensive,https://www.aljazeera.com/news/2023/7/16/east-ukraine-fighting-intensifies-as-putin-dismisses-offensive
9,"Extreme weather, wildfires affect millions globally",https://www.aljazeera.com/news/liveblog/2023/7/17/global-heatwave-live-news-evacuations-as-wildfires-expected
