,Year,Game,Genre,Developer(s)
0,1998,GoldenEye 007[1],First-person shooter,Rare
1,1999,The Legend of Zelda: Ocarina of Time[2],Action-adventure,Nintendo EAD
2,2000,Console: MediEvil 2[3],Action-adventure,SCE Cambridge Studio
3,2000,Handheld: Pokémon Yellow[4],Role-playing,Game Freak
4,2000,PC: Deus Ex[5],Action role-playing,Ion Storm
5,2001,Console: Gran Turismo 3: A-Spec[6],Racing,Polyphony Digital
6,2001,Handheld: Tony Hawk's Pro Skater 2[7],Sports,Vicarious Visions
7,2001,PC: Max Payne[8],Third-person shooter,Remedy Entertainment
8,2002,Console: Halo: Combat Evolved[9],First-person shooter,Bungie
9,2002,Handheld: SMS Chess[10],,Purple Software
10,2002,PC: Neverwinter Nights[11],Role-playing,BioWare
11,2003,Call of Duty[12],First-person shooter,Infinity Ward
12,2004,Half-Life 2[13],First-person shooter,Valve
13,2006,Tom Clancy's Ghost Recon Advanced Warfighter[14],Tactical shooter,Ubisoft Paris
14,2007,BioShock[15],First-person shooter,Irrational Games
15,2008,Super Mario Galaxy[16],Platformer,Nintendo EAD
16,2009,Batman: Arkham Asylum[17],Action-adventure,Rocksteady Studios
17,2010,Mass Effect 2[18],Action role-playing,BioWare
18,2011,Portal 2[19],Puzzle-platformer,Valve
19,2012,Dishonored[20],Action-adventure,Arkane Studios
20,2013,The Last of Us[21],Action-adventure,Naughty Dog
21,2014,Destiny[22],Action role-playing,Bungie
22,2015,Fallout 4[23],Action role-playing,Bethesda Game Studios
23,2016,Uncharted 4: A Thief's End[24],Action-adventure,Naughty Dog
24,2017,What Remains of Edith Finch[25],Adventure,Giant Sparrow
25,2018,God of War[26],Action-adventure,Santa Monica Studio
26,2019,Outer Wilds[27],Action-adventure,Mobius Digital
27,2020,Hades[28],Action role-playing,Supergiant Games
28,2021,Returnal[29],Third-person shooter,Housemarque
29,2022,Vampire Survivors[30],Roguelike,Poncle
